Date ,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
03-Nov-23,19215.9,19256.45,19200.3,19222.1,606967225,26005.12
06-Nov-23,19333.2,19410.7,19300.35,19399.1,570290716,25071.73
07-Nov-23,19398.25,19433.9,19331.55,19416.8,583344413,27987.31
08-Nov-23,19466.9,19485.25,19426.45,19470.1,475889646,24870.58
09-Nov-23,19489.15,19494.45,19398.6,19413.8,420617003,25714.11
10-Nov-23,19371.55,19468.75,19344.9,19444.8,350513268,20014.37
12-Nov-23,19571.2,19571.2,19528.55,19544.45,78027613,3575.48
13-Nov-23,19508.6,19515.2,19436.6,19475.7,404054582,18883.68
15-Nov-23,19675.5,19714.9,19611.05,19698.4,570431298,32926.28
16-Nov-23,19701.65,19884.3,19652.6,19785.85,500734356,32671.11
17-Nov-23,19704.6,19835.75,19696.1,19773.45,511307933,30228.56
20-Nov-23,19779.55,19795.1,19715.15,19730.7,359339215,22463.34
21-Nov-23,19807.5,19851.8,19788.05,19806.4,375930331,23874.5
22-Nov-23,19810.3,19849.05,19716.95,19818.9,374382016,22744.61
23-Nov-23,19839.7,19883.45,19802.25,19819.4,333405400,21040.05
24-Nov-23,19831.8,19854.7,19792.75,19812.1,343963032,21230.13
28-Nov-23,19867.75,19964.95,19832.5,19938.4,594376988,35369.56
29-Nov-23,20037.25,20144.6,20021.3,20136.2,634530023,35402.47
30-Nov-23,20152.85,20226.4,20063.4,20201,1178702032,70673.39
01-Dec-23,20274.6,20365.45,20263.1,20339.45,657645334,33247.19
04-Dec-23,20687.35,20773.7,20586.75,20757.95,901151552,48753.7
05-Dec-23,20870.4,20957.65,20783.6,20949.25,901403385,61094.16
06-Dec-23,21055.1,21093,20978.1,21074.15,840234503,58781.31
07-Dec-23,21086.25,21102.8,21014.2,21076.35,782044411,44973.58
08-Dec-23,21125.2,21172.35,20981.7,21107.2,694035679,43143.59
11-Dec-23,21114.75,21181.1,21089.3,21161.7,533166176,32731.9
12-Dec-23,21191.9,21203.7,21009.9,21058.25,514383730,36613.2
13-Dec-23,21088.35,21122.15,20930.25,21099.6,582960588,39020.29
14-Dec-23,21279.4,21392.75,21252.7,21364.3,688012300,45780.38
15-Dec-23,21471.2,21624.75,21411.35,21595.5,870774338,63115.26
18-Dec-23,21585.2,21644,21510.15,21585.25,588118082,37577.96
19-Dec-23,21647.45,21672.55,21494.4,21622.95,559550564,36541.36
20-Dec-23,21728.65,21775.75,21206.35,21267.35,759546755,46703.73
21-Dec-23,21135.3,21435,21073.9,21402.15,604176351,38559.44
22-Dec-23,21461.25,21544.2,21382.2,21508.85,619500885,39309.67
26-Dec-23,21539.4,21647.05,21504.6,21617.05,501502938,29199.8
27-Dec-23,21683.9,21834.7,21678.4,21815.45,521903610,32669
28-Dec-23,21879.85,21951.9,21836.95,21931.75,911293585,48837.59
29-Dec-23,21903.45,21944.45,21847.5,21918.8,643426631,34406.81
01-Jan-24,21928.7,22026.2,21877.3,21934.7,444471950,22539.56
02-Jan-24,21955.8,21959.55,21727.35,21865.25,576351025,35151.32
03-Jan-24,21877.6,21890.65,21752.55,21771.4,696284491,48913.23
04-Jan-24,21865.4,21961.4,21830.9,21934.4,639761478,42733.46
05-Jan-24,21988.5,22027,21882.25,21974.6,649620626,40077.4
08-Jan-24,22016.7,22024.15,21750.25,21770.75,518386922,31602.65
09-Jan-24,21915.65,21986.6,21788.7,21815.15,478429268,34214.29
10-Jan-24,21806.1,21907.5,21704.5,21885.8,488569432,30964.29
11-Jan-24,21963.75,22004.1,21886.65,21942.15,507324802,33915.9
12-Jan-24,22065.1,22192.75,22003.15,22159.25,606464900,40156.87
15-Jan-24,22313,22355.45,22202.7,22338.75,631132461,39473.83
16-Jan-24,22329.8,22367.3,22204.55,22274.6,631405554,36407.83
17-Jan-24,21925.6,22110.55,21819.9,21839.95,868166558,60563.45
18-Jan-24,21698.3,21799.3,21509.1,21730.1,770175367,52072.16
19-Jan-24,21882.8,21942.85,21849.65,21916,697367156,45568.4
